column_name,column_status,column_type
cc_txn_amt_3m,INPUT,INTERVAL
cc_txn_amt_3_6m,INPUT,INTERVAL
cc_txn_amt_6_12m,INPUT,INTERVAL
cl_txn_type,INPUT,NOMINAL
cnt_act_cc_12v,INPUT,INTERVAL
cnt_act_cc_12v_lag1y,INPUT,INTERVAL
cnt_act_cc_12v_lag2y,INPUT,INTERVAL
cnt_act_cc_12v_lag3y,INPUT,INTERVAL
cnt_act_cc_3v,INPUT,INTERVAL
cnt_act_cc_3v_lag1y,INPUT,INTERVAL
cnt_act_cc_3v_lag2y,INPUT,INTERVAL
cnt_act_cc_3v_lag3y,INPUT,INTERVAL
cnt_act_cc_6v,INPUT,INTERVAL
cnt_act_cc_6v_lag1y,INPUT,INTERVAL
cnt_act_cc_6v_lag2y,INPUT,INTERVAL
cnt_act_cc_6v_lag3y,INPUT,INTERVAL
cnt_act_dc_12v,INPUT,INTERVAL
cnt_act_dc_12v_lag1y,INPUT,INTERVAL
cnt_act_dc_12v_lag2y,INPUT,INTERVAL
cnt_act_dc_12v_lag3y,INPUT,INTERVAL
cnt_act_dc_3v,INPUT,INTERVAL
cnt_act_dc_3v_lag1y,INPUT,INTERVAL
cnt_act_dc_3v_lag2y,INPUT,INTERVAL
cnt_act_dc_3v_lag3y,INPUT,INTERVAL
cnt_act_dc_6v,INPUT,INTERVAL
cnt_act_dc_6v_lag1y,INPUT,INTERVAL
cnt_act_dc_6v_lag2y,INPUT,INTERVAL
cnt_act_dc_6v_lag3y,INPUT,INTERVAL
cnt_act_pos_12v,INPUT,INTERVAL
cnt_act_pos_12v_lag1y,INPUT,INTERVAL
cnt_act_pos_12v_lag2y,INPUT,INTERVAL
cnt_act_pos_12v_lag3y,INPUT,INTERVAL
cnt_act_pos_3v,INPUT,INTERVAL
cnt_act_pos_3v_lag1y,INPUT,INTERVAL
cnt_act_pos_3v_lag2y,INPUT,INTERVAL
cnt_act_pos_3v_lag3y,INPUT,INTERVAL
cnt_act_pos_6v,INPUT,INTERVAL
